State,Date,New Cases,7-Day Moving Avg
Florida,Apr 15 2022,0,1943
Florida,Apr 14 2022,2906,2239
Florida,Apr 13 2022,2943,2132
Florida,Apr 12 2022,2575,1960
Florida,Apr 11 2022,2163,1902
Florida,Apr 10 2022,1446,1805
Florida,Apr  9 2022,1568,1739
Florida,Apr  8 2022,2077,1676
Florida,Apr  7 2022,2155,1615
Florida,Apr  6 2022,1741,1535
Florida,Apr  5 2022,2169,1623
Florida,Apr  4 2022,1482,1504
Florida,Apr  3 2022,987,1503
Florida,Apr  2 2022,1125,1482
Florida,Apr  1 2022,1649,1474
Florida,Mar 31 2022,1592,1444
Florida,Mar 30 2022,2357,1420
Florida,Mar 29 2022,1340,1317
Florida,Mar 28 2022,1475,1406
Florida,Mar 27 2022,836,1318
Florida,Mar 26 2022,1071,1294
Florida,Mar 25 2022,1441,1277
Florida,Mar 24 2022,1423,1249
Florida,Mar 23 2022,1637,1244
Florida,Mar 22 2022,1965,1228
Florida,Mar 21 2022,857,1127
Florida,Mar 20 2022,664,1176
Florida,Mar 19 2022,955,1177
Florida,Mar 18 2022,1245,1151
Florida,Mar 17 2022,1385,1148
Florida,Mar 16 2022,1527,1144
Florida,Mar 15 2022,1260,1145
Florida,Mar 14 2022,1200,1198
Florida,Mar 13 2022,670,1252
Florida,Mar 12 2022,771,1272
Florida,Mar 11 2022,1224,1391
Florida,Mar 10 2022,1361,1466
Florida,Mar  9 2022,1535,1552
Florida,Mar  8 2022,1630,1665
Florida,Mar  7 2022,1576,1683
Florida,Mar  6 2022,812,1763
Florida,Mar  5 2022,1601,1908
Florida,Mar  4 2022,1750,1876
Florida,Mar  3 2022,1966,2015
Florida,Mar  2 2022,2321,2150
Florida,Mar  1 2022,1755,2320
Florida,Feb 28 2022,2136,2630
Florida,Feb 27 2022,1827,2850
Florida,Feb 26 2022,1383,3033
Florida,Feb 25 2022,2721,3267
Florida,Feb 24 2022,2909,3652
Florida,Feb 23 2022,3510,3993
Florida,Feb 22 2022,3929,4412
Florida,Feb 21 2022,3676,4764
Florida,Feb 20 2022,3106,5093
Florida,Feb 19 2022,3019,5246
Florida,Feb 18 2022,5415,5556
Florida,Feb 17 2022,5300,6054
Florida,Feb 16 2022,6439,6697
Florida,Feb 15 2022,6399,7227
Florida,Feb 14 2022,5978,8151
Florida,Feb 13 2022,4175,10043
Florida,Feb 12 2022,5191,12360
Florida,Feb 11 2022,8897,13266
Florida,Feb 10 2022,9804,14706
Florida,Feb  9 2022,10148,16000
Florida,Feb  8 2022,12868,17083
Florida,Feb  7 2022,19224,17647
Florida,Feb  6 2022,20391,17749
Florida,Feb  5 2022,11535,17018
Florida,Feb  4 2022,18976,18179
Florida,Feb  3 2022,18864,18688
Florida,Feb  2 2022,17727,20339
Florida,Feb  1 2022,16816,21788
Florida,Jan 31 2022,19937,24712
Florida,Jan 30 2022,15277,26846
Florida,Jan 29 2022,19662,29754
Florida,Jan 28 2022,22539,28129
Florida,Jan 27 2022,30421,28144
Florida,Jan 26 2022,27866,29267
Florida,Jan 25 2022,37285,31812
Florida,Jan 24 2022,34873,32588
Florida,Jan 23 2022,35635,32279
Florida,Jan 22 2022,8284,31693
Florida,Jan 21 2022,22649,37205
Florida,Jan 20 2022,38280,40967
Florida,Jan 19 2022,45684,43863
Florida,Jan 18 2022,42713,45209
Florida,Jan 17 2022,32713,49285
Florida,Jan 16 2022,31534,51384
